Movie,Runtime (in min),Genre,Rating,Box Office,Director
Training Day,122,"Action, Crime, Drama",7.7,$76.63M,Antoine Fuqua
The Machinist,101,"Drama, Thriller",7.7,$1.08M,Brad Anderson
Man on Fire,146,"Action, Crime, Drama",7.7,$77.91M,Tony Scott
Crash,112,"Crime, Drama, Thriller",7.7,$54.58M,Paul Haggis
Lucky Number Slevin,110,"Crime, Drama, Thriller",7.7,$22.49M,Paul McGuigan
Das Experiment,120,"Drama, Thriller",7.7,$0.14M,Oliver Hirschbiegel
Donnie Brasco,127,"Biography, Crime, Drama",7.7,$41.91M,Mike Newell
The Hangover,100,Comedy,7.7,$277.32M,Todd Phillips
Diarios de motocicleta,126,"Adventure, Biography, Drama",7.7,$16.78M,Walter Salles
Ocean's Eleven,116,"Crime, Thriller",7.7,$183.42M,Steven Soderbergh
The Caine Mutiny,124,"Drama, War",7.7,$21.75M,Edward Dmytryk
Nebraska,115,Drama,7.7,$17.65M,Alexander Payne
The Bourne Supremacy,108,"Action, Mystery, Thriller",7.7,$176.24M,Paul Greengrass
The Dirty Dozen,150,"Action, Adventure, War",7.7,$45.30M,Robert Aldrich
Evil Dead II,84,"Comedy, Horror",7.7,$5.92M,Sam Raimi
Airplane!,88,Comedy,7.7,$83.40M,Jim Abrahams
Gravity,91,"Drama, Sci-Fi, Thriller",7.7,$274.09M,Alfonso Cuarón
The Game,129,"Drama, Mystery, Thriller",7.7,$48.32M,David Fincher
Dirty Harry,102,"Action, Crime, Thriller",7.7,$35.90M,Don Siegel
Road to Perdition,117,"Crime, Drama, Thriller",7.7,$104.45M,Sam Mendes
Goldfinger,110,"Action, Adventure, Thriller",7.7,$51.08M,Guy Hamilton
Brokeback Mountain,134,"Drama, Romance",7.7,$83.04M,Ang Lee
Argo,120,"Biography, Drama, Thriller",7.7,$136.03M,Ben Affleck
What's Eating Gilbert Grape,118,Drama,7.7,$9.17M,Lasse Hallström
"O Brother, Where Art Thou?",107,"Adventure, Comedy, Crime",7.7,$45.51M,Joel Coen
Lost in Translation,102,"Comedy, Drama",7.7,$44.59M,Sofia Coppola
Happiness,134,"Comedy, Drama",7.7,$2.81M,Todd Solondz
Black Hawk Down,144,"Action, Drama, History",7.7,$108.64M,Ridley Scott
As Good as It Gets,139,"Comedy, Drama, Romance",7.7,$148.48M,James L. Brooks
Deliverance,109,"Adventure, Drama, Thriller",7.7,$7.06M,John Boorman
Halloween,91,"Horror, Thriller",7.7,$47.00M,John Carpenter
Billy Elliot,110,"Drama, Music",7.7,$22.00M,Stephen Daldry
Zodiac,157,"Crime, Drama, Mystery",7.7,$33.08M,David Fincher
First Blood,93,"Action, Adventure, Thriller",7.7,$47.21M,Ted Kotcheff
When Harry Met Sally...,95,"Comedy, Drama, Romance",7.7,$92.82M,Rob Reiner
Home Alone,103,"Comedy, Family",7.7,$285.76M,Chris Columbus
Blue Velvet,120,"Crime, Drama, Mystery",7.7,$8.55M,David Lynch
Being John Malkovich,113,"Comedy, Drama, Fantasy",7.7,$22.86M,Spike Jonze
Saw,103,"Horror, Mystery, Thriller",7.6,$56.00M,James Wan
The Fifth Element,126,"Action, Adventure, Sci-Fi",7.6,$63.54M,Luc Besson
Un long dimanche de fiançailles,133,"Drama, Mystery, Romance",7.6,$6.17M,Jean-Pierre Jeunet
Match Point,124,"Drama, Romance, Thriller",7.6,$23.09M,Woody Allen
The Bridges of Madison County,135,"Drama, Romance",7.6,$71.52M,Clint Eastwood
The Birds,119,"Drama, Horror, Mystery",7.6,$11.40M,Alfred Hitchcock
The Others,101,"Horror, Mystery, Thriller",7.6,$96.52M,Alejandro Amenábar
Star Wars: Episode III - Revenge of the Sith,140,"Action, Adventure, Fantasy",7.6,$380.26M,George Lucas
21 Grams,124,"Crime, Drama, Thriller",7.6,$16.29M,Alejandro G. Iñárritu
Lethal Weapon,109,"Action, Crime, Thriller",7.6,$65.21M,Richard Donner
The Thin Red Line,170,"Drama, History, War",7.6,$36.40M,Terrence Malick
The Godfather Part III,162,"Crime, Drama",7.6,$66.67M,Francis Ford Coppola
Sabrina,113,"Comedy, Drama, Romance",7.6,"67,702",Billy Wilder
The Visitor,104,Drama,7.6,$9.42M,Tom McCarthy
RoboCop,102,"Action, Crime, Sci-Fi",7.6,$53.42M,Paul Verhoeven
The Incredible Shrinking Man,81,"Horror, Sci-Fi",7.6,"18,968",Jack Arnold
Duel,90,"Action, Thriller",7.6,"74,486",Steven Spielberg
La piel que habito,120,"Drama, Horror, Mystery",7.6,$3.19M,Pedro Almodóvar
Moulin Rouge!,127,"Drama, Musical, Romance",7.6,$57.39M,Baz Luhrmann
